idx,datum,kanaal,bestand,achtergrond,kop
21,2026-10-12,gbp,2026-10-12-21-foto.jpg,schiphol+seizoen+service--avond,Herfstvakantie: op tijd naar Schiphol
22,2026-10-13,instagram,2026-10-13-22-kaart.jpg,kaart,Met het gezin naar Schiphol
23,2026-10-16,instagram,2026-10-16-23-kaart.jpg,kaart,Wat een vroege vlucht echt kost
24,2026-10-19,gbp,2026-10-19-24-kaart.jpg,kaart,"Amsterdam Dance Event: vaste prijs, ook 's nachts"
25,2026-10-20,instagram,2026-10-20-25-kaart.jpg,kaart,Geen surge. Ook niet om drie uur 's nachts.
26,2026-10-23,instagram,2026-10-23-26-kaart.jpg,kaart,Veilig thuis na ADE
27,2026-10-25,gbp,2026-10-25-27-kaart.jpg,kaart,De klok gaat een uur terug
28,2026-10-26,gbp,2026-10-26-28-foto.jpg,vloot+station--lynk-co,Ophalen bij het station
29,2026-10-27,instagram,2026-10-27-29-kaart.jpg,kaart,Vanaf het station verder
30,2026-10-30,instagram,2026-10-30-30-foto.jpg,zakelijk+memberships+comfort--achterbank,Voor wie vaker rijdt
31,2026-11-02,gbp,2026-11-02-31-kaart.jpg,kaart,Q4: vervoer geregeld voor het laatste kwartaal
32,2026-11-03,instagram,2026-11-03-32-kaart.jpg,kaart,Vanaf tien ritten per maand
33,2026-11-06,instagram,2026-11-06-33-kaart.jpg,kaart,"Dezelfde chauffeur, elke keer"
34,2026-11-09,gbp,2026-11-09-34-foto.jpg,schiphol+seizoen+service--avond,"Regen, spits en toch op tijd"
35,2026-11-10,instagram,2026-11-10-35-kaart.jpg,kaart,De file zit niet in uw prijs
36,2026-11-13,instagram,2026-11-13-36-foto.jpg,comfort+nachttarief+247+moment--interieur-nacht,Sinterklaas komt aan
37,2026-11-16,gbp,2026-11-16-37-kaart.jpg,kaart,Kerstborrel? Regel het vervoer nu
38,2026-11-17,instagram,2026-11-17-38-kaart.jpg,kaart,Uw kerstborrel is al over vijf weken
39,2026-11-20,instagram,2026-11-20-39-kaart.jpg,kaart,Hoe een offerte bij ons werkt
40,2026-11-23,gbp,2026-11-23-40-kaart.jpg,kaart,December loopt vol
41,2026-11-24,instagram,2026-11-24-41-kaart.jpg,kaart,Wij doen niet mee aan Black Friday
42,2026-11-27,instagram,2026-11-27-42-kaart.jpg,kaart,Dezelfde prijs. Elke dag van het jaar.
43,2026-11-30,gbp,2026-11-30-43-kaart.jpg,kaart,Decemberdrukte: boek vooruit
44,2026-12-01,instagram,2026-12-01-44-kaart.jpg,kaart,Vijf momenten waarop u ons deze maand nodig heeft
45,2026-12-04,instagram,2026-12-04-45-kaart.jpg,kaart,Pakjesavond valt dit jaar op zaterdag
46,2026-12-07,gbp,2026-12-07-46-kaart.jpg,kaart,Vervoer voor uw kerstborrel
47,2026-12-08,instagram,2026-12-08-47-kaart.jpg,kaart,Niemand hoeft Bob te zijn
48,2026-12-11,instagram,2026-12-11-48-kaart.jpg,kaart,Hoe ons nachttarief werkt
49,2026-12-14,gbp,2026-12-14-49-kaart.jpg,kaart,Kerstvakantie: vroeg naar Schiphol
50,2026-12-15,instagram,2026-12-15-50-kaart.jpg,kaart,Een winterochtend rekent anders
51,2026-12-18,instagram,2026-12-18-51-kaart.jpg,kaart,Als uw vlucht wél vertraagd is
52,2026-12-21,gbp,2026-12-21-52-kaart.jpg,kaart,Ook op eerste en tweede kerstdag
53,2026-12-22,instagram,2026-12-22-53-kaart.jpg,kaart,"Kerst bij de familie, zonder wie-rijdt-er-terug"
54,2026-12-23,instagram,2026-12-23-54-kaart.jpg,kaart,Laatste dag om rustig te boeken
55,2026-12-25,gbp,2026-12-25-55-kaart.jpg,kaart,Fijne kerstdagen
56,2026-12-28,gbp,2026-12-28-56-kaart.jpg,kaart,Oudjaarsavond: boek nu uw rit
57,2026-12-29,instagram,2026-12-29-57-kaart.jpg,kaart,Op oudjaarsavond verdubbelt onze prijs niet
58,2026-12-31,instagram,2026-12-31-58-kaart.jpg,kaart,Tot volgend jaar
