service_type,pickup_slug,dropoff_slug,vehicle_class_slug,distance_km,estimated_duration_min,price,return_price,price_per_km,return_multiplier,active,needs_review,source_label,suggested_price,premium_delta,estimated_cost,estimated_margin,estimated_margin_percent,competitor_price_low,competitor_price_high,market_position,psychological_price,confidence_score,pricing_status,review_notes
airport,leidsche-rijn,schiphol-airport,executive-ev,40,40,104,187,2.60,1.80,true,false,Leidsche Rijn → Schiphol,96,21,52.6,51.4,49.4,73,95,Premium,95,90,Approved,Geverifieerd tarief. Marktdata = placeholder.
airport,utrecht-centrum,schiphol-airport,executive-ev,44,44,110,198,2.50,1.80,true,false,Utrecht Centrum → Schiphol,104,20,57.16,52.84,48.0,79,103,Premium,105,90,Approved,Geverifieerd tarief. Marktdata = placeholder.
airport,de-uithof-science-park,schiphol-airport,executive-ev,48,48,117,211,2.44,1.80,true,false,De Uithof → Schiphol,112,19,61.72,55.28,47.2,86,113,Premium,109,90,Approved,Geverifieerd tarief. Marktdata = placeholder.
airport,amsterdam,rotterdam-airport,executive-ev,85,70,119,214,1.40,1.80,true,false,Amsterdam → Rotterdam Airport,169,-43,93.1,25.9,21.8,143,186,Budget,169,90,Approved,Geverifieerd tarief. Onder markttarief — lange rit. Marktdata = placeholder.
airport,rotterdam,rotterdam-airport,executive-ev,12,20,39,70,3.25,1.79,true,false,Rotterdam → Rotterdam Airport,48,5,26.44,12.56,32.2,30,39,Market,49,90,Approved,Geverifieerd tarief. Marktdata = placeholder.
intercity,amsterdam,rotterdam,executive-ev,78,65,109,196,1.40,1.80,true,false,Amsterdam → Rotterdam,157,-40,86.56,22.44,20.6,131,171,Budget,155,90,Approved,Geverifieerd tarief. Onder markttarief — lange rit. Marktdata = placeholder.
intercity,amsterdam,den-haag,executive-ev,65,55,85,153,1.31,1.80,true,false,Amsterdam → Den Haag,134,-41,73.9,11.1,13.1,111,145,Budget,135,90,Too Cheap,Geverifieerd tarief. Lage marge (13.1%). Onder markttarief — lange rit. Marktdata = placeholder.
intercity,amsterdam,utrecht,executive-ev,40,35,69,124,1.73,1.80,true,false,Amsterdam → Utrecht,89,-13,49,20,29.0,72,94,Budget,89,90,Approved,Geverifieerd tarief. Onder markttarief — lange rit. Marktdata = placeholder.
intercity,amsterdam,eindhoven,executive-ev,120,90,139,250,1.16,1.80,true,false,Amsterdam → Eindhoven,222,-83,122.2,16.8,12.1,195,255,Budget,219,80,Too Cheap,Geverifieerd tarief. Lage marge (12.1%). Onder markttarief — lange rit. Marktdata = placeholder.
intercity,rotterdam,amsterdam,executive-ev,78,65,109,196,1.40,1.80,true,false,Rotterdam → Amsterdam,157,-40,86.56,22.44,20.6,131,171,Budget,155,90,Approved,Geverifieerd tarief. Onder markttarief — lange rit. Marktdata = placeholder.
intercity,rotterdam,den-haag,executive-ev,25,30,49,88,1.96,1.80,true,false,Rotterdam → Den Haag,71,-8,39.1,9.9,20.2,50,66,Budget,69,90,Approved,Geverifieerd tarief. Onder markttarief — lange rit. Marktdata = placeholder.
intercity,rotterdam,utrecht,executive-ev,55,50,79,142,1.44,1.80,true,false,Rotterdam → Utrecht,120,-30,66.1,12.9,16.3,96,125,Budget,119,90,Approved,Geverifieerd tarief. Onder markttarief — lange rit. Marktdata = placeholder.
intercity,almere,amsterdam,executive-ev,35,35,45,81,1.29,1.80,true,false,Almere → Amsterdam,85,-29,46.9,-1.9,-4.2,65,85,Budget,85,80,Too Cheap,Geverifieerd tarief. Lage marge (-4.2%). Onder markttarief — lange rit. Marktdata = placeholder.
intercity,almere,utrecht,executive-ev,42,42,65,117,1.55,1.80,true,false,Almere → Utrecht,100,-22,54.88,10.12,15.6,77,100,Budget,99,90,Approved,Geverifieerd tarief. Onder markttarief — lange rit. Marktdata = placeholder.
intercity,utrecht,amsterdam,executive-ev,40,40,69,124,1.73,1.80,true,false,Utrecht → Amsterdam,96,-14,52.6,16.4,23.8,73,95,Budget,95,90,Approved,Geverifieerd tarief. Onder markttarief — lange rit. Marktdata = placeholder.
airport,amsterdam,schiphol-airport,business,15,15,58,104,3.87,1.79,false,true,Amsterdam → Schiphol,44,21,24.1,33.9,58.4,33,43,Luxury,45,55,Needs Review,Placeholder — prijs te controleren. Hoge prijs/km — korte rit. Marktdata = placeholder.
airport,amsterdam,rotterdam-airport,business,75,68,148,266,1.97,1.80,false,true,Amsterdam → Rotterdam Airport,159,2,87.46,60.54,40.9,128,168,Market,159,55,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
airport,rotterdam,schiphol-airport,business,64,58,131,236,2.05,1.80,false,true,Rotterdam → Schiphol,138,5,75.64,55.36,42.3,111,145,Market,139,55,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
airport,rotterdam,rotterdam-airport,business,6,15,44,79,7.33,1.80,false,true,Rotterdam → Rotterdam Airport,37,21,20.32,23.68,53.8,20,26,Luxury,35,45,Needs Review,Placeholder — prijs te controleren. Hoge prijs/km — korte rit. Marktdata = placeholder.
airport,den-haag,schiphol-airport,business,56,50,119,214,2.13,1.80,false,true,Den Haag → Schiphol,121,8,66.52,52.48,44.1,98,128,Market,119,55,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
airport,den-haag,rotterdam-airport,executive-ev,21,19,67,121,3.19,1.81,false,true,Den Haag → Rotterdam Airport,54,20,29.5,37.5,56.0,41,54,Premium,55,55,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
airport,den-haag,rotterdam-airport,business,21,19,67,121,3.19,1.81,false,true,Den Haag → Rotterdam Airport,54,20,29.5,37.5,56.0,41,54,Premium,55,55,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
airport,utrecht,schiphol-airport,executive-ev,46,41,104,187,2.26,1.80,false,true,Utrecht → Schiphol,102,11,55.84,48.16,46.3,82,107,Market,99,55,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
airport,utrecht,schiphol-airport,business,46,41,104,187,2.26,1.80,false,true,Utrecht → Schiphol,102,11,55.84,48.16,46.3,82,107,Market,99,55,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
airport,utrecht,rotterdam-airport,executive-ev,66,59,134,241,2.03,1.80,false,true,Utrecht → Rotterdam Airport,140,5,77.2,56.8,42.4,114,148,Market,139,55,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
airport,utrecht,rotterdam-airport,business,66,59,134,241,2.03,1.80,false,true,Utrecht → Rotterdam Airport,140,5,77.2,56.8,42.4,114,148,Market,139,55,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
airport,almere,schiphol-airport,executive-ev,46,41,104,187,2.26,1.80,false,true,Almere → Schiphol,102,11,55.84,48.16,46.3,82,107,Market,99,55,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
airport,almere,schiphol-airport,business,46,41,104,187,2.26,1.80,false,true,Almere → Schiphol,102,11,55.84,48.16,46.3,82,107,Market,99,55,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
airport,almere,rotterdam-airport,executive-ev,96,86,179,322,1.86,1.80,false,true,Almere → Rotterdam Airport,199,-5,109.24,69.76,39.0,162,212,Market,199,55,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
airport,almere,rotterdam-airport,business,96,86,179,322,1.86,1.80,false,true,Almere → Rotterdam Airport,199,-5,109.24,69.76,39.0,162,212,Market,199,55,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
airport,eindhoven,schiphol-airport,executive-ev,146,131,254,457,1.74,1.80,false,true,Eindhoven → Schiphol,296,-21,162.64,91.36,36.0,242,316,Market,295,55,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
airport,eindhoven,schiphol-airport,business,146,131,254,457,1.74,1.80,false,true,Eindhoven → Schiphol,296,-21,162.64,91.36,36.0,242,316,Market,295,55,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
airport,eindhoven,rotterdam-airport,executive-ev,123,111,220,396,1.79,1.80,false,true,Eindhoven → Rotterdam Airport,252,-13,138.58,81.42,37.0,205,268,Market,249,55,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
airport,eindhoven,rotterdam-airport,business,123,111,220,396,1.79,1.80,false,true,Eindhoven → Rotterdam Airport,252,-13,138.58,81.42,37.0,205,268,Market,249,55,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
airport,almere-poort,schiphol-airport,business,46,41,104,187,2.26,1.80,false,true,Almere Poort → Schiphol,102,11,55.84,48.16,46.3,82,107,Market,99,55,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
airport,almere-poort,rotterdam-airport,executive-ev,96,86,179,322,1.86,1.80,false,true,Almere Poort → Rotterdam Airport,199,-5,109.24,69.76,39.0,162,212,Market,199,55,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
airport,almere-poort,rotterdam-airport,business,96,86,179,322,1.86,1.80,false,true,Almere Poort → Rotterdam Airport,199,-5,109.24,69.76,39.0,162,212,Market,199,55,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
airport,almere-stad-centrum,schiphol-airport,business,46,41,104,187,2.26,1.80,false,true,Almere Stad Centrum → Schiphol,102,11,55.84,48.16,46.3,82,107,Market,99,55,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
airport,almere-stad-centrum,rotterdam-airport,executive-ev,96,86,179,322,1.86,1.80,false,true,Almere Stad Centrum → Rotterdam Airport,199,-5,109.24,69.76,39.0,162,212,Market,199,55,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
airport,almere-stad-centrum,rotterdam-airport,business,96,86,179,322,1.86,1.80,false,true,Almere Stad Centrum → Rotterdam Airport,199,-5,109.24,69.76,39.0,162,212,Market,199,55,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
airport,almere-haven,schiphol-airport,business,46,41,104,187,2.26,1.80,false,true,Almere Haven → Schiphol,102,11,55.84,48.16,46.3,82,107,Market,99,55,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
airport,almere-haven,rotterdam-airport,executive-ev,96,86,179,322,1.86,1.80,false,true,Almere Haven → Rotterdam Airport,199,-5,109.24,69.76,39.0,162,212,Market,199,55,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
airport,almere-haven,rotterdam-airport,business,96,86,179,322,1.86,1.80,false,true,Almere Haven → Rotterdam Airport,199,-5,109.24,69.76,39.0,162,212,Market,199,55,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
airport,almere-muziekwijk,schiphol-airport,business,46,41,104,187,2.26,1.80,false,true,Almere Muziekwijk → Schiphol,102,11,55.84,48.16,46.3,82,107,Market,99,55,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
airport,almere-muziekwijk,rotterdam-airport,executive-ev,96,86,179,322,1.86,1.80,false,true,Almere Muziekwijk → Rotterdam Airport,199,-5,109.24,69.76,39.0,162,212,Market,199,55,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
airport,almere-muziekwijk,rotterdam-airport,business,96,86,179,322,1.86,1.80,false,true,Almere Muziekwijk → Rotterdam Airport,199,-5,109.24,69.76,39.0,162,212,Market,199,55,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
airport,almere-buiten,schiphol-airport,business,46,41,104,187,2.26,1.80,false,true,Almere Buiten → Schiphol,102,11,55.84,48.16,46.3,82,107,Market,99,55,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
airport,almere-buiten,rotterdam-airport,executive-ev,96,86,179,322,1.86,1.80,false,true,Almere Buiten → Rotterdam Airport,199,-5,109.24,69.76,39.0,162,212,Market,199,55,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
airport,almere-buiten,rotterdam-airport,business,96,86,179,322,1.86,1.80,false,true,Almere Buiten → Rotterdam Airport,199,-5,109.24,69.76,39.0,162,212,Market,199,55,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
airport,almere-hout,schiphol-airport,business,46,41,104,187,2.26,1.80,false,true,Almere Hout → Schiphol,102,11,55.84,48.16,46.3,82,107,Market,99,55,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
airport,almere-hout,rotterdam-airport,executive-ev,96,86,179,322,1.86,1.80,false,true,Almere Hout → Rotterdam Airport,199,-5,109.24,69.76,39.0,162,212,Market,199,55,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
airport,almere-hout,rotterdam-airport,business,96,86,179,322,1.86,1.80,false,true,Almere Hout → Rotterdam Airport,199,-5,109.24,69.76,39.0,162,212,Market,199,55,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
airport,almere-oostvaarders,schiphol-airport,business,46,41,104,187,2.26,1.80,false,true,Almere Oostvaarders → Schiphol,102,11,55.84,48.16,46.3,82,107,Market,99,55,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
airport,almere-oostvaarders,rotterdam-airport,executive-ev,96,86,179,322,1.86,1.80,false,true,Almere Oostvaarders → Rotterdam Airport,199,-5,109.24,69.76,39.0,162,212,Market,199,55,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
airport,almere-oostvaarders,rotterdam-airport,business,96,86,179,322,1.86,1.80,false,true,Almere Oostvaarders → Rotterdam Airport,199,-5,109.24,69.76,39.0,162,212,Market,199,55,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
airport,amsterdam-zuidas,schiphol-airport,business,15,15,58,104,3.87,1.79,false,true,Amsterdam Zuidas → Schiphol,44,21,24.1,33.9,58.4,33,43,Luxury,45,55,Needs Review,Placeholder — prijs te controleren. Hoge prijs/km — korte rit. Marktdata = placeholder.
airport,amsterdam-zuidas,rotterdam-airport,executive-ev,75,68,148,266,1.97,1.80,false,true,Amsterdam Zuidas → Rotterdam Airport,159,2,87.46,60.54,40.9,128,168,Market,159,55,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
airport,amsterdam-zuidas,rotterdam-airport,business,75,68,148,266,1.97,1.80,false,true,Amsterdam Zuidas → Rotterdam Airport,159,2,87.46,60.54,40.9,128,168,Market,159,55,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
airport,amsterdam-centrum,schiphol-airport,business,15,15,58,104,3.87,1.79,false,true,Amsterdam Centrum → Schiphol,44,21,24.1,33.9,58.4,33,43,Luxury,45,55,Needs Review,Placeholder — prijs te controleren. Hoge prijs/km — korte rit. Marktdata = placeholder.
airport,amsterdam-centrum,rotterdam-airport,executive-ev,75,68,148,266,1.97,1.80,false,true,Amsterdam Centrum → Rotterdam Airport,159,2,87.46,60.54,40.9,128,168,Market,159,55,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
airport,amsterdam-centrum,rotterdam-airport,business,75,68,148,266,1.97,1.80,false,true,Amsterdam Centrum → Rotterdam Airport,159,2,87.46,60.54,40.9,128,168,Market,159,55,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
airport,amsterdam-oud-zuid-de-pijp,schiphol-airport,business,15,15,58,104,3.87,1.79,false,true,Amsterdam Oud-Zuid / De Pijp → Schiphol,44,21,24.1,33.9,58.4,33,43,Luxury,45,55,Needs Review,Placeholder — prijs te controleren. Hoge prijs/km — korte rit. Marktdata = placeholder.
airport,amsterdam-oud-zuid-de-pijp,rotterdam-airport,executive-ev,75,68,148,266,1.97,1.80,false,true,Amsterdam Oud-Zuid / De Pijp → Rotterdam Airport,159,2,87.46,60.54,40.9,128,168,Market,159,55,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
airport,amsterdam-oud-zuid-de-pijp,rotterdam-airport,business,75,68,148,266,1.97,1.80,false,true,Amsterdam Oud-Zuid / De Pijp → Rotterdam Airport,159,2,87.46,60.54,40.9,128,168,Market,159,55,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
airport,amsterdam-oost,schiphol-airport,business,15,15,58,104,3.87,1.79,false,true,Amsterdam Oost → Schiphol,44,21,24.1,33.9,58.4,33,43,Luxury,45,55,Needs Review,Placeholder — prijs te controleren. Hoge prijs/km — korte rit. Marktdata = placeholder.
airport,amsterdam-oost,rotterdam-airport,executive-ev,75,68,148,266,1.97,1.80,false,true,Amsterdam Oost → Rotterdam Airport,159,2,87.46,60.54,40.9,128,168,Market,159,55,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
airport,amsterdam-oost,rotterdam-airport,business,75,68,148,266,1.97,1.80,false,true,Amsterdam Oost → Rotterdam Airport,159,2,87.46,60.54,40.9,128,168,Market,159,55,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
airport,amsterdam-zuidoost-bijlmer,schiphol-airport,business,15,15,58,104,3.87,1.79,false,true,Amsterdam Zuidoost / Bijlmer → Schiphol,44,21,24.1,33.9,58.4,33,43,Luxury,45,55,Needs Review,Placeholder — prijs te controleren. Hoge prijs/km — korte rit. Marktdata = placeholder.
airport,amsterdam-zuidoost-bijlmer,rotterdam-airport,executive-ev,75,68,148,266,1.97,1.80,false,true,Amsterdam Zuidoost / Bijlmer → Rotterdam Airport,159,2,87.46,60.54,40.9,128,168,Market,159,55,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
airport,amsterdam-zuidoost-bijlmer,rotterdam-airport,business,75,68,148,266,1.97,1.80,false,true,Amsterdam Zuidoost / Bijlmer → Rotterdam Airport,159,2,87.46,60.54,40.9,128,168,Market,159,55,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
airport,amsterdam-noord,schiphol-airport,business,15,15,58,104,3.87,1.79,false,true,Amsterdam Noord → Schiphol,44,21,24.1,33.9,58.4,33,43,Luxury,45,55,Needs Review,Placeholder — prijs te controleren. Hoge prijs/km — korte rit. Marktdata = placeholder.
airport,amsterdam-noord,rotterdam-airport,executive-ev,75,68,148,266,1.97,1.80,false,true,Amsterdam Noord → Rotterdam Airport,159,2,87.46,60.54,40.9,128,168,Market,159,55,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
airport,amsterdam-noord,rotterdam-airport,business,75,68,148,266,1.97,1.80,false,true,Amsterdam Noord → Rotterdam Airport,159,2,87.46,60.54,40.9,128,168,Market,159,55,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
airport,leidsche-rijn,schiphol-airport,business,46,41,104,187,2.26,1.80,false,true,Leidsche Rijn → Schiphol,102,11,55.84,48.16,46.3,82,107,Market,99,55,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
airport,leidsche-rijn,rotterdam-airport,executive-ev,66,59,134,241,2.03,1.80,false,true,Leidsche Rijn → Rotterdam Airport,140,5,77.2,56.8,42.4,114,148,Market,139,55,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
airport,leidsche-rijn,rotterdam-airport,business,66,59,134,241,2.03,1.80,false,true,Leidsche Rijn → Rotterdam Airport,140,5,77.2,56.8,42.4,114,148,Market,139,55,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
airport,utrecht-centrum,schiphol-airport,business,46,41,104,187,2.26,1.80,false,true,Utrecht Centrum → Schiphol,102,11,55.84,48.16,46.3,82,107,Market,99,55,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
airport,utrecht-centrum,rotterdam-airport,executive-ev,66,59,134,241,2.03,1.80,false,true,Utrecht Centrum → Rotterdam Airport,140,5,77.2,56.8,42.4,114,148,Market,139,55,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
airport,utrecht-centrum,rotterdam-airport,business,66,59,134,241,2.03,1.80,false,true,Utrecht Centrum → Rotterdam Airport,140,5,77.2,56.8,42.4,114,148,Market,139,55,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
airport,de-uithof-science-park,schiphol-airport,business,46,41,104,187,2.26,1.80,false,true,De Uithof → Schiphol,102,11,55.84,48.16,46.3,82,107,Market,99,55,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
airport,de-uithof-science-park,rotterdam-airport,executive-ev,66,59,134,241,2.03,1.80,false,true,De Uithof → Rotterdam Airport,140,5,77.2,56.8,42.4,114,148,Market,139,55,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
airport,de-uithof-science-park,rotterdam-airport,business,66,59,134,241,2.03,1.80,false,true,De Uithof → Rotterdam Airport,140,5,77.2,56.8,42.4,114,148,Market,139,55,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
intercity,amsterdam,rotterdam,business,77,69,151,272,1.96,1.80,false,true,Amsterdam → Rotterdam,162,2,89.02,61.98,41.0,131,171,Market,159,50,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
intercity,amsterdam,den-haag,business,71,64,142,256,2.00,1.80,false,true,Amsterdam → Den Haag,151,4,82.9,59.1,41.6,121,159,Market,149,50,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
intercity,amsterdam,utrecht,business,46,41,104,187,2.26,1.80,false,true,Amsterdam → Utrecht,102,11,55.84,48.16,46.3,82,107,Market,99,50,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
intercity,amsterdam,almere,executive-ev,33,30,85,153,2.58,1.80,false,true,Amsterdam → Almere,77,16,42.46,42.54,50.0,61,79,Premium,75,50,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
intercity,amsterdam,almere,business,33,30,85,153,2.58,1.80,false,true,Amsterdam → Almere,77,16,42.46,42.54,50.0,61,79,Premium,75,50,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
intercity,amsterdam,eindhoven,business,149,134,259,466,1.74,1.80,false,true,Amsterdam → Eindhoven,302,-21,166.06,92.94,35.9,246,322,Market,299,50,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
intercity,rotterdam,amsterdam,business,77,69,151,272,1.96,1.80,false,true,Rotterdam → Amsterdam,162,2,89.02,61.98,41.0,131,171,Market,159,50,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
intercity,rotterdam,den-haag,business,27,24,76,137,2.81,1.80,false,true,Rotterdam → Den Haag,65,18,35.62,40.38,53.1,51,67,Premium,65,50,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
intercity,rotterdam,utrecht,business,65,59,133,239,2.05,1.80,false,true,Rotterdam → Utrecht,140,6,76.78,56.22,42.3,112,146,Market,139,50,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
intercity,rotterdam,almere,executive-ev,97,87,181,326,1.87,1.80,false,true,Rotterdam → Almere,201,-4,110.38,70.62,39.0,163,213,Market,199,50,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
intercity,rotterdam,almere,business,97,87,181,326,1.87,1.80,false,true,Rotterdam → Almere,201,-4,110.38,70.62,39.0,163,213,Market,199,50,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
intercity,rotterdam,eindhoven,executive-ev,117,105,211,380,1.80,1.80,false,true,Rotterdam → Eindhoven,240,-11,131.74,79.26,37.6,195,255,Market,239,50,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
intercity,rotterdam,eindhoven,business,117,105,211,380,1.80,1.80,false,true,Rotterdam → Eindhoven,240,-11,131.74,79.26,37.6,195,255,Market,239,50,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
intercity,den-haag,amsterdam,executive-ev,71,64,142,256,2.00,1.80,false,true,Den Haag → Amsterdam,151,4,82.9,59.1,41.6,121,159,Market,149,50,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
intercity,den-haag,amsterdam,business,71,64,142,256,2.00,1.80,false,true,Den Haag → Amsterdam,151,4,82.9,59.1,41.6,121,159,Market,149,50,Needs Review,Placeholder — prijs te controleren. Marktdata = placeholder.
